0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:14:34 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:14:34 +0530] "GET /ORSProject3/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:14:35 +0530] "GET /ORSProject3/image/download.png HTTP/1.1" 200 5211
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:14:35 +0530] "GET /ORSProject3/zimages/bgWelcome.jpg HTTP/1.1" 200 45741
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:14:35 +0530] "GET /ORSProject3/css/jquery-ui.css HTTP/1.1" 200 37284
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:14:35 +0530] "GET /ORSProject3/js/bootstrap.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:14:35 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:14:35 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:14:35 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:14:35 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:14:44 +0530] "GET /ORSProject3/LoginCtl HTTP/1.1" 200 11823
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:14:44 +0530] "GET /ORSProject3/js/bootstrap.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:14:44 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:14:44 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:14:44 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:14:44 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:14:44 +0530] "GET /ORSProject3/zimages/a140.jpg HTTP/1.1" 200 35460
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:15:07 +0530] "GET /ORSProject3/ HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:15:30 +0530] "GET /ORSProject3/theam_wel/fonts/montserrat-light_[allfont.net].ttf HTTP/1.1" 400 1127
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:15:31 +0530] "GET /ORSProject3/WelcomeCtl HTTP/1.1" 200 9913
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:15:31 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:15:31 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:15:31 +0530] "GET /ORSProject3/js/bootstrap.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:15:31 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:15:31 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:15:31 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:15:35 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:15:38 +0530] "GET /ORSProject3/LoginCtl HTTP/1.1" 200 11823
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:15:38 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:15:38 +0530] "GET /ORSProject3/js/bootstrap.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:15:38 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
