127.0.0.1 - - [05/Feb/2020:14:26:18 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:27:12 +0530] "GET /ORSProject4/jsp/sawan.jsp HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:27:18 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:39:04 +0530] "GET /ORSProject4/jsp/raaja.jsp HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:39:43 +0530] "GET /ORSProject4/jsp/raaja.jsp HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:40:01 +0530] "GET /ORSProject4/jsp/raaja.jsp HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:40:07 +0530] "GET /ORSProject4/jsp/raaja.jsp HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:41:50 +0530] "GET /ORSProject4/jsp/raaja.jsp HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:42:40 +0530] "GET /ORSProject4/jsp/raaja.jsp HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:42:59 +0530] "GET /ORSProject4/jsp/raaja.jsp HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:43:12 +0530] "GET /ORSProject4/jsp/raaja.jsp HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:44:44 +0530] "GET /ORSProject4/jsp/raaja.jsp HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:44:46 +0530] "GET /ORSProject4/jsp/raaja.jsp? HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:44:47 +0530] "GET /ORSProject4/jsp/raaja.jsp? HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:44:48 +0530] "GET /ORSProject4/jsp/raaja.jsp? HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:45:09 +0530] "GET /ORSProject4/jsp/raaja.jsp HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:45:18 +0530] "GET /ORSProject4/jsp/raaja.jsp HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:45:20 +0530] "GET /ORSProject4/jsp/raaja.jsp? HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:45:21 +0530] "GET /ORSProject4/jsp/raaja.jsp? HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:45:21 +0530] "GET /ORSProject4/jsp/raaja.jsp? HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:45:22 +0530] "GET /ORSProject4/jsp/raaja.jsp? HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:45:22 +0530] "GET /ORSProject4/jsp/raaja.jsp? HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:45:22 +0530] "GET /ORSProject4/jsp/raaja.jsp? HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:45:23 +0530] "GET /ORSProject4/jsp/raaja.jsp? HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:45:23 +0530] "GET /ORSProject4/jsp/raaja.jsp? HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:45:24 +0530] "GET /ORSProject4/jsp/raaja.jsp? HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:45:29 +0530] "GET /ORSProject4/jsp/raaja.jsp? HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:45:44 +0530] "GET /ORSProject4/jsp/raaja.jsp HTTP/1.1" 500 641
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:45:44 +0530] "GET /ORSProject4/css/Error.css HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:45:44 +0530] "GET /ORSProject4/ErrorCtl/img/logo.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:45:54 +0530] "GET /ORSProject4/jsp/raaja.jsp? HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:46:09 +0530] "GET /ORSProject4/jsp/raaja.jsp HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:46:43 +0530] "GET /ORSProject4/jsp/raaja.jsp HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:47:47 +0530] "GET /ORSProject4/jsp/raaja.jsp HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:47:52 +0530] "GET /ORSProject4/jsp/raaja.jsp? HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:47:54 +0530] "GET /ORSProject4/jsp/raaja.jsp? HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:47:54 +0530] "GET /ORSProject4/jsp/raaja.jsp? HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:47:54 +0530] "GET /ORSProject4/jsp/raaja.jsp? HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:50:02 +0530] "GET /ORSProject4/jsp/raaja.jsp HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:50:38 +0530] "GET /ORSProject4/jsp/raaja.jsp? HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:50:39 +0530] "GET /ORSProject4/jsp/raaja.jsp? HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:50:40 +0530] "GET /ORSProject4/jsp/raaja.jsp? HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:50:41 +0530] "GET /ORSProject4/jsp/raaja.jsp? HTTP/1.1" 200 637
