127.0.0.1 - - [10/Jan/2020:14:17:33 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:18:09 +0530] "GET /ORSProject4/ HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:18:15 +0530] "GET /ORSProject4/img/customLogo.jpg HTTP/1.1" 200 33775
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:18:18 +0530] "GET /ORSProject4/img/logo.png HTTP/1.1" 200 19649
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:18:23 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:18:23 +0530] "GET /ORSProject4/js/angular.min.js HTTP/1.1" 200 165382
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:18:24 +0530] "GET /ORSProject4/js/index.js HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:18:24 +0530] "GET /ORSProject4/js/angular-datepicker.js HTTP/1.1" 200 37154
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:18:24 +0530] "GET /ORSProject4/js/angular-locale_en.js HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:18:24 +0530] "GET /ORSProject4/css/angular-datepicker.css HTTP/1.1" 200 5392
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:18:28 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3364
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:18:39 +0530] "GET /ORSProject4/ForgetPasswordCtl HTTP/1.1" 200 2559
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:05 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3364
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:17 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:17 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 3173
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/ctl/TimetableListCtl HTTP/1.1" 200 16311
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/js/jquery.min.js HTTP/1.1" 200 89810
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/js/CheckBox.js HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/ctl/ang/app.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/ctl/ang/controller/userMaster.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/ctl/ang/controller/userRegistration.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/ctl/ang/service/permission.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/ctl/ang/controller/welcome.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/ctl/ang/service/user.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/ctl/ang/route.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/ctl/ang/controller/login.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/ctl/ang/controller/editMyProfile.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/ctl/ang/controller/changeMyPassword.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/ctl/ang/controller/forgetMyPassword.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/ctl/ang/controller/role.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/ctl/ang/controller/message.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/ctl/ang/controller/notification.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/ctl/ang/controller/systemSetting.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/ctl/ang/controller/courseManagement.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/ctl/ang/controller/timesheet.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/ctl/ang/controller/faculty.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/ctl/ang/controller/facultyDetail.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/ctl/ang/controller/student.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/ctl/ang/controller/studentDetail.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/ctl/ang/controller/class.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/ctl/ang/controller/Admission.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/ctl/ang/controller/classStudentManagement.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/ctl/ang/controller/studentFeedback.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/ctl/ang/controller/admissionReport.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/ctl/ang/controller/applicationManagement.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/ctl/ang/controller/studentAttendance.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:31:20 +0530] "GET /ORSProject4/ctl/ang/controller/companyMaster.js HTTP/1.1" 404 842
