127.0.0.1 - - [28/Jan/2020:13:13:53 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [28/Jan/2020:13:14:30 +0530] "GET /ORSProject4/ HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [28/Jan/2020:13:14:35 +0530] "GET /ORSProject4/img/customLogo.jpg HTTP/1.1" 200 33775
0:0:0:0:0:0:0:1 - - [28/Jan/2020:13:14:37 +0530] "GET /ORSProject4/img/logo.png HTTP/1.1" 200 19649
0:0:0:0:0:0:0:1 - - [28/Jan/2020:13:17:21 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [28/Jan/2020:13:17:22 +0530] "GET /ORSProject4/css/angular-datepicker.css HTTP/1.1" 200 5392
0:0:0:0:0:0:0:1 - - [28/Jan/2020:13:17:22 +0530] "GET /ORSProject4/js/angular.min.js HTTP/1.1" 200 165382
0:0:0:0:0:0:0:1 - - [28/Jan/2020:13:17:22 +0530] "GET /ORSProject4/js/index.js HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [28/Jan/2020:13:17:22 +0530] "GET /ORSProject4/js/angular-datepicker.js HTTP/1.1" 200 37154
0:0:0:0:0:0:0:1 - - [28/Jan/2020:13:17:22 +0530] "GET /ORSProject4/js/angular-locale_en.js HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [28/Jan/2020:13:19:38 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3364
0:0:0:0:0:0:0:1 - - [28/Jan/2020:13:19:50 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3364
0:0:0:0:0:0:0:1 - - [28/Jan/2020:13:20:54 +0530] "GET /ORSProject4/ForgetPasswordCtl HTTP/1.1" 200 2559
0:0:0:0:0:0:0:1 - - [28/Jan/2020:14:04:29 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3364
0:0:0:0:0:0:0:1 - - [28/Jan/2020:14:04:33 +0530] "GET /ORSProject4/ HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [28/Jan/2020:15:22:48 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [28/Jan/2020:15:22:52 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3364
0:0:0:0:0:0:0:1 - - [28/Jan/2020:15:23:12 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jan/2020:15:23:12 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 3173
0:0:0:0:0:0:0:1 - - [28/Jan/2020:15:24:10 +0530] "GET /ORSProject4/ctl/CourseListCtl HTTP/1.1" 200 10674
0:0:0:0:0:0:0:1 - - [28/Jan/2020:15:24:10 +0530] "GET /ORSProject4/js/jquery.min.js HTTP/1.1" 200 89810
