127.0.0.1 - - [18/Apr/2020:11:49:47 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [18/Apr/2020:11:50:28 +0530] "GET /ORSProject4/ HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [18/Apr/2020:11:50:34 +0530] "GET /ORSProject4/img/customLogo.jpg HTTP/1.1" 200 33775
0:0:0:0:0:0:0:1 - - [18/Apr/2020:11:50:37 +0530] "GET /ORSProject4/img/logo.png HTTP/1.1" 200 19649
0:0:0:0:0:0:0:1 - - [18/Apr/2020:11:53:33 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [18/Apr/2020:11:53:33 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [18/Apr/2020:11:53:34 +0530] "GET /ORSProject4/css/angular-datepicker.css HTTP/1.1" 200 5392
0:0:0:0:0:0:0:1 - - [18/Apr/2020:11:53:34 +0530] "GET /ORSProject4/js/angular.min.js HTTP/1.1" 200 165382
0:0:0:0:0:0:0:1 - - [18/Apr/2020:11:53:34 +0530] "GET /ORSProject4/js/angular-datepicker.js HTTP/1.1" 200 37154
0:0:0:0:0:0:0:1 - - [18/Apr/2020:11:53:34 +0530] "GET /ORSProject4/js/index.js HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [18/Apr/2020:11:53:34 +0530] "GET /ORSProject4/js/angular-locale_en.js HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [18/Apr/2020:11:53:38 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3364
0:0:0:0:0:0:0:1 - - [18/Apr/2020:11:54:31 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3361
0:0:0:0:0:0:0:1 - - [18/Apr/2020:11:54:32 +0530] "GET /ORSProject4/img/logo.png HTTP/1.1" 200 19649
0:0:0:0:0:0:0:1 - - [18/Apr/2020:11:55:05 +0530] "GET /ORSProject4/ HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [18/Apr/2020:11:55:05 +0530] "GET /ORSProject4/img/logo.png HTTP/1.1" 200 19649
0:0:0:0:0:0:0:1 - - [18/Apr/2020:11:55:18 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 1695
