127.0.0.1 - - [04/Feb/2020:14:14:56 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Feb/2020:14:14:57 +0530] "GET /ORSProject4/ HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [04/Feb/2020:14:14:57 +0530] "GET /ORSProject4/img/customLogo.jpg HTTP/1.1" 200 33775
0:0:0:0:0:0:0:1 - - [04/Feb/2020:14:14:57 +0530] "GET /ORSProject4/img/logo.png HTTP/1.1" 200 19649
0:0:0:0:0:0:0:1 - - [04/Feb/2020:14:15:00 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [04/Feb/2020:14:15:01 +0530] "GET /ORSProject4/css/angular-datepicker.css HTTP/1.1" 200 5392
0:0:0:0:0:0:0:1 - - [04/Feb/2020:14:15:01 +0530] "GET /ORSProject4/js/angular.min.js HTTP/1.1" 200 165382
0:0:0:0:0:0:0:1 - - [04/Feb/2020:14:15:01 +0530] "GET /ORSProject4/js/angular-locale_en.js HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [04/Feb/2020:14:15:01 +0530] "GET /ORSProject4/js/index.js HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [04/Feb/2020:14:15:01 +0530] "GET /ORSProject4/js/angular-datepicker.js HTTP/1.1" 200 37154
0:0:0:0:0:0:0:1 - - [04/Feb/2020:14:15:04 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [04/Feb/2020:14:15:11 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 3402
0:0:0:0:0:0:0:1 - - [04/Feb/2020:14:15:34 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3364
0:0:0:0:0:0:0:1 - - [04/Feb/2020:14:41:18 +0530] "GET /ORSProject4/jsp/sawan.jsp HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [04/Feb/2020:14:41:18 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [04/Feb/2020:14:41:40 +0530] "GET /ORSProject4/jsp/sawan.jsp HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [04/Feb/2020:14:44:14 +0530] "GET /ORSProject4/jsp/sawan.jsp HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [04/Feb/2020:14:46:03 +0530] "GET /ORSProject4/jsp/sawan.jsp HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [04/Feb/2020:14:47:53 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [04/Feb/2020:14:52:00 +0530] "GET /ORSProject4/jsp/sawan.ctl? HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [04/Feb/2020:14:52:00 +0530] "GET /ORSProject4/css/Error.css HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [04/Feb/2020:14:52:00 +0530] "GET /ORSProject4/ErrorCtl/img/logo.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [04/Feb/2020:14:52:03 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [04/Feb/2020:14:52:43 +0530] "GET /ORSProject4/jsp/sawan.jsp HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [04/Feb/2020:16:28:02 +0530] "GET /ORSProject4/jsp/sawan.jsp HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [04/Feb/2020:16:35:01 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3364
0:0:0:0:0:0:0:1 - - [04/Feb/2020:16:35:05 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3364
0:0:0:0:0:0:0:1 - - [04/Feb/2020:16:35:08 +0530] "GET /ORSProject4/ForgetPasswordCtl HTTP/1.1" 200 2559
0:0:0:0:0:0:0:1 - - [04/Feb/2020:16:35:11 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3364
0:0:0:0:0:0:0:1 - - [04/Feb/2020:16:35:12 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3364
0:0:0:0:0:0:0:1 - - [04/Feb/2020:16:35:13 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [04/Feb/2020:16:35:14 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3364
